City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Bukachacha,RU,52.9833,116.9167,27.61,76,24,3.11,few clouds
257,Nhulunbuy,AU,-12.2333,136.7667,86.61,74,75,5.75,broken clouds
258,Pisco,PE,-13.7,-76.2167,60.85,88,0,3.44,clear sky
259,Qaqortoq,GL,60.7167,-46.0333,4.17,90,9,4.74,clear sky
260,Klaksvik,FO,62.2266,-6.589,49.12,87,75,40.89,broken clouds
261,Nanortalik,GL,60.1432,-45.2371,19.08,75,34,19.82,scattered clouds
262,Bowen,AU,-20.0167,148.2333,79.2,71,29,18.25,scattered clouds
263,Grindavik,IS,63.8424,-22.4338,46.35,87,100,21.85,light rain
264,Deputatskiy,RU,69.3,139.9,-30.37,100,34,2.26,scattered clouds
265,Were Ilu,ET,10.6,39.4333,61.5,26,4,3.91,clear sky
266,Talnakh,RU,69.4865,88.3972,-21.8,99,100,7.43,overcast clouds
267,Taihe,CN,30.8712,105.3845,64.08,52,94,4.7,overcast clouds
268,Komsomolskiy,UZ,40.4272,71.7189,45.32,61,18,4.61,few clouds
269,Lishui,CN,28.4604,119.9103,68.4,84,98,3.8,overcast clouds
270,Ketchikan,US,55.3422,-131.6461,40.46,85,6,5.84,clear sky
271,Faya,SA,18.3851,42.4509,68.11,34,0,2.8,clear sky
272,Skjervoy,NO,70.0311,20.9714,28.4,43,6,5.01,clear sky
273,Trollhattan,SE,58.2333,12.4167,37.4,87,100,12.66,overcast clouds
274,Ndele,CF,8.4109,20.6473,80.06,31,100,5.44,overcast clouds
275,Dotnuva,LT,55.35,23.9,28.89,81,6,6.08,clear sky
276,Tirumullaivasal,IN,11.2333,79.8333,80.76,61,77,13.51,broken clouds
277,Botou,CN,38.0667,116.5667,63.61,32,0,7.27,clear sky
278,Havelock,US,34.8791,-76.9013,51.78,77,0,20.71,clear sky
279,Merauke,ID,-8.4667,140.3333,83.93,74,100,6.24,heavy intensity rain
280,Sao Filipe,CV,14.8961,-24.4956,77.23,67,7,3.15,clear sky
281,Nanakuli,US,21.3906,-158.1547,76.95,66,0,4.61,clear sky
282,Kalmunai,LK,7.4167,81.8167,81.84,64,100,15.12,overcast clouds
283,Vardo,NO,70.3705,31.1107,40.98,70,100,11.5,overcast clouds
284,Baykit,RU,61.67,96.37,-2.52,93,11,2.55,few clouds
285,Snasa,NO,64.2457,12.3778,35.01,56,0,6.91,clear sky
286,Waw,SS,7.7029,27.9953,85.5,25,55,6.69,broken clouds
287,Yaring,TH,6.8662,101.3689,82.29,75,100,1.83,overcast clouds
288,Madang,PG,-5.2246,145.7966,84.67,72,100,6.64,overcast clouds
289,Phibun Mangsahan,TH,15.2447,105.2291,91.38,47,39,1.52,scattered clouds
290,Saint-Paul,RE,-21.0096,55.2707,81.36,56,0,5.06,clear sky
291,Bozova,TR,37.3625,38.5267,50.99,72,88,4.72,overcast clouds
292,Praia,CV,14.9215,-23.5087,73.94,83,20,9.22,few clouds
293,Hailar,CN,49.2,119.7,26.85,79,67,11.41,broken clouds
294,Stavern,NO,59.0,10.0333,36.18,85,100,24.58,overcast clouds
295,Pangnirtung,CA,66.1451,-65.7125,-2.45,84,100,3.06,overcast clouds
296,Manokwari,ID,-0.8667,134.0833,83.52,79,61,8.86,broken clouds
297,Beitbridge,ZW,-22.2167,30.0,87.06,33,0,10.51,clear sky
298,Chara,RU,56.9064,118.2631,14.83,86,94,0.74,overcast clouds
299,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,79,20,14.97,few clouds
300,Gobabis,NA,-22.45,18.9667,80.38,33,79,8.57,broken clouds
301,Atbasar,KZ,51.8,68.3333,18.41,86,87,5.59,overcast clouds
302,Yilan,TW,24.757,121.753,82.26,81,55,4.23,broken clouds
303,Khandyga,RU,62.6667,135.6,-35.45,97,6,2.35,clear sky
304,Kontagora,NG,10.3999,5.4695,73.06,35,99,5.37,overcast clouds
305,Gorontalo,ID,0.5412,123.0595,86.16,70,100,2.93,moderate rain
306,Raga,SS,8.4596,25.678,81.3,20,83,8.28,broken clouds
307,Port Elizabeth,ZA,-33.918,25.5701,69.1,73,20,14.97,few clouds
308,Plettenberg Bay,ZA,-34.0527,23.3716,65.82,65,88,6.42,overcast clouds
309,Vanimo,PG,-2.6741,141.3028,83.79,72,100,6.49,overcast clouds
310,Flinders,AU,-34.5833,150.8552,63.37,65,47,14.47,scattered clouds
311,Baturaja,ID,-4.1333,104.1667,84.11,77,100,1.25,overcast clouds
312,Hambantota,LK,6.1241,81.1185,86.34,74,40,3.44,scattered clouds
313,Salym,RU,60.0625,71.4789,-0.4,87,16,1.54,few clouds
314,Mikropolis,GR,41.1935,23.8157,49.3,83,100,1.97,overcast clouds
315,Singkawang,ID,0.9,109.0,86.07,64,100,7.11,overcast clouds
316,Leningradskiy,RU,69.3833,178.4167,7.32,95,100,3.11,overcast clouds
317,Cidreira,BR,-30.1811,-50.2056,63.59,63,0,3.76,clear sky
318,Belmonte,BR,-15.8631,-38.8828,73.98,92,100,4.32,overcast clouds
319,Bakel,SN,14.905,-12.4568,76.84,24,99,8.14,overcast clouds
320,Santa Cruz Verapaz,GT,15.3667,-90.4333,59.18,96,88,2.1,overcast clouds
321,Port Hardy,CA,50.6996,-127.4199,32.18,100,40,2.3,scattered clouds
322,Darhan,MN,49.4867,105.9228,36.88,40,84,6.85,broken clouds
323,Caxias,PT,38.7031,-9.2767,65.91,94,75,10.36,broken clouds
324,Itarema,BR,-2.9248,-39.9167,77.67,76,67,12.03,broken clouds
325,Huarmey,PE,-10.0681,-78.1522,63.77,90,100,7.47,overcast clouds
326,Caravelas,BR,-17.7125,-39.2481,71.6,95,100,4.03,light rain
327,Naryan-Mar,RU,67.6713,53.087,14.45,94,100,15.86,overcast clouds
328,Makakilo City,US,21.3469,-158.0858,75.52,68,0,6.91,clear sky
329,Salcininkai,LT,54.3,25.3833,26.69,71,6,8.1,clear sky
330,Mount Gambier,AU,-37.8333,140.7667,59.49,62,65,9.66,broken clouds
331,Coronel Martinez,PY,-25.75,-56.6167,60.73,75,0,1.54,clear sky
332,Guaramirim,BR,-26.4731,-49.0028,63.23,94,8,2.26,clear sky
333,High Level,CA,58.5169,-117.136,-5.69,84,0,0.0,mist
334,Nizhniy Kuranakh,RU,58.8353,125.4869,18.23,92,100,5.5,light snow
335,Lompoc,US,34.6391,-120.4579,51.58,79,0,5.75,clear sky
336,Alice Springs,AU,-23.7,133.8833,85.55,30,75,12.66,broken clouds
337,Camana,PE,-16.6228,-72.7111,64.96,81,100,6.71,overcast clouds
338,Waipawa,NZ,-41.4122,175.5153,56.37,98,100,3.4,light rain
339,Banjar,ID,-8.19,114.9675,85.33,79,37,2.28,scattered clouds
340,Inuvik,CA,68.3499,-133.7218,23.86,58,20,3.44,few clouds
341,Sovata,RO,46.5833,25.0667,44.31,95,100,3.4,light rain
342,Kattivakkam,IN,13.2167,80.3167,86.09,58,7,13.91,clear sky
343,Yagodnoye,RU,62.55,149.6667,-29.45,100,48,3.04,scattered clouds
344,Pochutla,MX,15.7432,-96.4661,74.82,70,100,2.82,overcast clouds
345,Marsh Harbour,BS,26.5412,-77.0636,78.39,73,6,2.24,clear sky
